380, 50.53191489361702, 7520
2640000, -0.024094363874361764, 0.040822642572050316, 0.06753733219843693
2660000, -0.008614858791315592, 0.0617492436317075, 0.06924245928641223
2680000, -0.000581497943771788, 0.0841382031259028, 0.06602729217920528
2700000, 0.009302892738660097, 0.09104883704067422, 0.05927349321246629
2720000, 0.03161088292975951, 0.08660420742928797, 0.0552687159600017
2740000, 0.043814030881868235, 0.1086512447998111, 0.05558303438225998
2760000, 0.01687805112795645, 0.14597550918801006, 0.05497737202440734
2780000, -0.022466220709959465, 0.2009709339606883, 0.05289613329530045
2800000, -0.04774036627989992, 0.2639159213477994, 0.05058026497472287
2820000, -0.05625568877604485, 0.3020177784326116, 0.05370689901108921
2840000, -0.055342226500001014, 0.3238981760536844, 0.0639176156578756
2860000, -0.048698462571945114, 0.3450922047728063, 0.08028939624826913
2880000, -0.04728322376597232, 0.3765807175802165, 0.09395958644840155
2900000, -0.05349169358590624, 0.41531574439086505, 0.10122966120073534
2920000, -0.06673919666088052, 0.45385748998756226, 0.09915866148944022
2940000, -0.08130110760455944, 0.49543468635386706, 0.08905431333010687
2960000, -0.07558826635912821, 0.5397948517882425, 0.08451873276867523
2980000, -0.05217991553586816, 0.5710279609498049, 0.09036143386915528
3000000, -0.034341137824117324, 0.5820072966382064, 0.0959315256701545
3020000, -0.021518871369101116, 0.5734006696473903, 0.09463058877332693
3040000, -0.011326747534656402, 0.5603406520722429, 0.08696441248760739
3060000, -0.015206336051183059, 0.5759699268688392, 0.08025420800766679
