380, 50.53191489361702, 7520
3760000, UnitQuaternion angle: 1.3218792141245381 − axis: (-0.04141455586606845, 0.9579042591495089, 0.2840849606467169)
3780000, UnitQuaternion angle: 1.3387926493893145 − axis: (-0.06133268808345515, 0.957517860151327, 0.28177623899768606)
3800000, UnitQuaternion angle: 1.3440934658654669 − axis: (-0.0797068648089264, 0.9547666702850303, 0.2864741192763628)
3820000, UnitQuaternion angle: 1.335577076875814 − axis: (-0.08550728535184479, 0.9499933328196889, 0.3003350990974883)
3840000, UnitQuaternion angle: 1.301970690714198 − axis: (-0.07408607357088995, 0.9449877623457568, 0.31860537145441864)
3860000, UnitQuaternion angle: 1.247729949441841 − axis: (-0.046339596424458486, 0.9403751247353469, 0.336967753030166)
3880000, UnitQuaternion angle: 1.1952028049263272 − axis: (-0.017139754193860348, 0.935038678949236, 0.3541311871256779)
3900000, UnitQuaternion angle: 1.1735584434157782 − axis: (-0.011410098722432625, 0.9318798502485313, 0.36258758162397003)
3920000, UnitQuaternion angle: 1.1887512996178824 − axis: (-0.02861195756104197, 0.9339487937591927, 0.3562597458600597)
3940000, UnitQuaternion angle: 1.2246555017879275 − axis: (-0.03881450528344516, 0.9406809515752591, 0.33706495149016397)
3960000, UnitQuaternion angle: 1.249812983755827 − axis: (-0.028692234918532216, 0.946895920011415, 0.3202575093906714)
3980000, UnitQuaternion angle: 1.2513193209542732 − axis: (-0.0003647870025706861, 0.9503222541255759, 0.31126753805067264)
4000000, UnitQuaternion angle: 1.258823285145495 − axis: (0.01949377997161774, 0.9524992703153221, 0.3039163249830404)
4020000, UnitQuaternion angle: 1.2812778052886142 − axis: (0.015879887850244283, 0.9543250929937802, 0.29834786080057024)
4040000, UnitQuaternion angle: 1.3074319202267086 − axis: (0.0030612310947120093, 0.9575631232491777, 0.2882073799496896)
4060000, UnitQuaternion angle: 1.3230662738942107 − axis: (0.001192309295549184, 0.962044562846248, 0.2728897900188195)
4080000, UnitQuaternion angle: 1.3216821039233624 − axis: (0.00984527715362437, 0.9641907539693441, 0.26502690519604993)
4100000, UnitQuaternion angle: 1.3364174367714774 − axis: (0.019949653234247085, 0.9637406556248005, 0.2660938932627228)
4120000, UnitQuaternion angle: 1.3778649663807467 − axis: (0.01248207321087097, 0.9624158525320398, 0.27129306044089174)
4140000, UnitQuaternion angle: 1.421966335562181 − axis: (-0.009727418275694497, 0.9610502190650092, 0.27620255930890236)
4160000, UnitQuaternion angle: 1.4566490588805572 − axis: (-0.02567659397278772, 0.961175784734909, 0.27473955550882856)
4180000, UnitQuaternion angle: 1.4857608383734309 − axis: (-0.02657535125598039, 0.9621269782385841, 0.2713032039086759)
4200000, UnitQuaternion angle: 1.5082752439684577 − axis: (-0.023313166362841243, 0.9617238322720839, 0.273027043924288)
4220000, UnitQuaternion angle: 1.5277040579519545 − axis: (-0.013589436294518087, 0.9614967393835652, 0.27448014022141887)
4240000, UnitQuaternion angle: 1.5536564227652325 − axis: (-0.005964331020891292, 0.9632176922424805, 0.2686561075176654)
4260000, UnitQuaternion angle: 1.5852799225707297 − axis: (-0.014483703199096368, 0.9662515486284734, 0.2571928597662024)
4280000, UnitQuaternion angle: 1.6113180816859123 − axis: (-0.031184164169579576, 0.9684438935052068, 0.2472730738222837)
4300000, UnitQuaternion angle: 1.6315485376205046 − axis: (-0.04182316419585156, 0.9692245907030609, 0.2425994965228303)
4320000, UnitQuaternion angle: 1.6390553059729684 − axis: (-0.03553801058266533, 0.9701334005239698, 0.23995465194829024)
4340000, UnitQuaternion angle: 1.622287598349161 − axis: (-0.017089070140874584, 0.9718461588242692, 0.23499576008990838)
4360000, UnitQuaternion angle: 1.5975918111630656 − axis: (-0.007794591106161398, 0.9738979543299474, 0.22685241656511257)
4380000, UnitQuaternion angle: 1.58641567004327 − axis: (-0.007023587369443014, 0.9768353921318641, 0.2138768007499903)
4400000, UnitQuaternion angle: 1.599697367793879 − axis: (-0.006808049685142511, 0.9796357993814753, 0.2006672644695755)
4420000, UnitQuaternion angle: 1.6191171962513797 − axis: (-0.0016018574054223963, 0.981727818812689, 0.1902837981072815)
4440000, UnitQuaternion angle: 1.6143557956550478 − axis: (0.0035913238031975983, 0.9822481856086795, 0.18755160426346043)
4460000, UnitQuaternion angle: 1.5872206395642048 − axis: (0.005051687454024567, 0.9813973152208405, 0.19192131234230622)
4480000, UnitQuaternion angle: 1.5690077883765126 − axis: (-0.0015983715037175882, 0.9798449310087115, 0.1997532387348683)
4500000, UnitQuaternion angle: 1.5593102715932796 − axis: (-0.007206150534919713, 0.9777357138433536, 0.20971634478432008)
4520000, UnitQuaternion angle: 1.532452770610899 − axis: (-0.010739120389377254, 0.9737389323548458, 0.22741407808160766)
4540000, UnitQuaternion angle: 1.4950274910036458 − axis: (-0.01575762871440941, 0.9682187421187114, 0.2496080218009012)
4560000, UnitQuaternion angle: 1.4600678786434726 − axis: (-0.017481398406353207, 0.9628040342179714, 0.26963455342992954)
4580000, UnitQuaternion angle: 1.4352695470579793 − axis: (-0.008260881947700638, 0.9598866366533275, 0.2802666633829447)
4600000, UnitQuaternion angle: 1.4214873269504493 − axis: (0.010010849702383695, 0.9593107235830954, 0.28217497852700213)
